"Source","Target"
"Tolomei, P.B.","Torres, L.M."
"Costa-Ruiz, M.-P.","Armijos-Buitron, V.-A."
"Costa-Ruiz, M.-P.","Campoverde, B.G.A."
"Armijos-Buitron, V.-A.","Campoverde, B.G.A."
"Calderon-Cordova, C.","Quichimbo, L."
"Calderon-Cordova, C.","Reyes, F."
"Quichimbo, L.","Reyes, F."
"Gonzales, M.","Rodriguez, C."
"Gonzales, M.","Rivera, D."
"Rodriguez, C.","Rivera, D."
"Coronel-Salas, G.","Sanmartin, C.M."
"Romero, H.Y.","Chavez, N.V."
"Romero, H.Y.","Gutierrez, I.M."
"Chavez, N.V.","Gutierrez, I.M."
"Espinosa, E.","Cejas, M."
"Espinosa, E.","Escobar, S.M."
"Espinosa, E.","Villapol, M.E."
"Cejas, M.","Escobar, S.M."
"Cejas, M.","Villapol, M.E."
"Escobar, S.M.","Villapol, M.E."
"Villapol, M.E.","Escobar, S.M."
"Juan Pablo, B.M.","Hilda Piedad, C.C."
"Juan Pablo, B.M.","Santiago, S.V."
"Hilda Piedad, C.C.","Santiago, S.V."
"Berrezueta-Guzmn, J.","Serpa-Andrade, L."
"Berrezueta-Guzmn, J.","Robles-Bykbaev, V."
"Berrezueta-Guzmn, J.","Pinos-Velez, E."
"Serpa-Andrade, L.","Robles-Bykbaev, V."
"Serpa-Andrade, L.","Pinos-Velez, E."
"Robles-Bykbaev, V.","Pinos-Velez, E."
"Salazar, G.","Gonzalez, V."
"Salazar, G.","Ortiz, C."
"Salazar, G.","Suing, A."
"Gonzalez, V.","Ortiz, C."
"Gonzalez, V.","Suing, A."
"Ortiz, C.","Suing, A."
"Suing, A.","Ortiz, C."
"Segarra-Faggioni, V.","Belen Mora Arciniegas, M."
"Segarra-Faggioni, V.","Luna, G.T."
"Belen Mora Arciniegas, M.","Luna, G.T."
"Vivanco, L.J.O.","Daniela Calva Cabrera, K."
"Vivanco, L.J.O.","Espinosa, M.M."
"Daniela Calva Cabrera, K.","Espinosa, M.M."
"Hidalgo, R.P.","Jimenez, L.C."
"Sanmartin, C.M.","Coronel-Salas, G."
"Lopez-Golan, M.","Tapia, A.C.V."
"Lopez-Golan, M.","Pedreira, J.F."
"Tapia, A.C.V.","Pedreira, J.F."
"Rogel, D.E.R.","Salinas, G.A.C."
"Suing, A.","Gonzalez, V."
"Suing, A.","Ortiz, C."
"Gonzalez, V.","Ortiz, C."
"Valencia, C.E.R.","Becerra, M.H."
"Valencia, C.E.R.","Gutierrez, I.M."
"Becerra, M.H.","Gutierrez, I.M."
"Ordonez, K.","Garcia, P."
"Ordonez, K.","Ramon, M."
"Garcia, P.","Ramon, M."
"Ordonez, K.","Garcia, P."
"Ordonez, K.","Ramon, M."
"Garcia, P.","Ramon, M."
"Calderon-Cordova, C.","Jaramillo, A."
"Calderon-Cordova, C.","Tinoco, C."
"Calderon-Cordova, C.","Quinones, M."
"Jaramillo, A.","Tinoco, C."
"Jaramillo, A.","Quinones, M."
"Tinoco, C.","Quinones, M."
"Salas-Tenesaca, E.","Espinoza-Loaiza, V."
"Salas-Tenesaca, E.","Samaniego-Namicela, A."
"Espinoza-Loaiza, V.","Samaniego-Namicela, A."
"Velasquez, A.","Carrion, G."
"Velasquez, A.","Yaguache, J."
"Carrion, G.","Yaguache, J."
"Cueva, D.F.","Armas, R."
"Cueva, D.F.","Rojas, D."
"Cueva, D.F.","Gonzalez, D."
"Armas, R.","Rojas, D."
"Armas, R.","Gonzalez, D."
"Rojas, D.","Gonzalez, D."
"Lalangui, P.S.","Herrera, R.A."
"Lalangui, P.S.","Jaramillo, S.E.R."
"Herrera, R.A.","Jaramillo, S.E.R."
"Altamirano, V.","Tunez, M."
"Altamirano, V.","Ordez, K."
"Tunez, M.","Ordez, K."
"Tapia, V.","Perez, R."
"Tapia, V.","Perez, A."
"Perez, R.","Perez, A."
"Beltran, J.","Sanchez, H."
"Beltran, J.","Rico, M."
"Sanchez, H.","Rico, M."
"Rodriguez-Fernandez, M.-M.","Sanchez-Amboage, E."
"Rodriguez-Fernandez, M.-M.","Martinez-Fernandez, V.-A."
"Rodriguez-Fernandez, M.-M.","Armijos-Maurad, A.-P."
"Sanchez-Amboage, E.","Martinez-Fernandez, V.-A."
"Sanchez-Amboage, E.","Armijos-Maurad, A.-P."
"Martinez-Fernandez, V.-A.","Armijos-Maurad, A.-P."
"Armijos-Maurad, A.-P.","Martinez-Fernandez, V.-A."
"Tinoco-Egas, R.","Juanatey-Boga, O."
"Rodriguez-Vazquez, C.","Rodriguez-Fernandez, M.-M."
"Rodriguez-Vazquez, C.","Martinez-Fernandez, V.-A."
"Rodriguez-Vazquez, C.","Armijos-Maurad, A.-P."
"Rodriguez-Fernandez, M.-M.","Martinez-Fernandez, V.-A."
"Rodriguez-Fernandez, M.-M.","Armijos-Maurad, A.-P."
"Martinez-Fernandez, V.-A.","Armijos-Maurad, A.-P."
"Armijos-Maurad, A.-P.","Martinez-Fernandez, V.-A."
"Malo, Z.","Ortega, M."
"Malo, Z.","Rojas, D."
"Malo, Z.","Espejo, L."
"Malo, Z.","Juanatey-Boga, O."
"Ortega, M.","Rojas, D."
"Ortega, M.","Espejo, L."
"Ortega, M.","Juanatey-Boga, O."
"Rojas, D.","Espejo, L."
"Rojas, D.","Juanatey-Boga, O."
"Espejo, L.","Rojas, D."
"Espejo, L.","Juanatey-Boga, O."
"Juanatey-Boga, O.","Espejo, L."
"Moscoso-Zea, O.","Lujan-Mora, S."
"Larrea, M.I.P.","Daniela Calva Cabrera, K."
"Valdiviezo-Diaz, P.","Hernando, A."
"Benitez, D.S.","Toscano, S."
"Benitez, D.S.","Silva, A."
"Toscano, S.","Silva, A."
"Reyes, N.S.","Garcia, M.R."
"Reyes, N.S.","Santamaria, H.S."
"Garcia, M.R.","Santamaria, H.S."
"Zumba-Zuniga, M.-F.","Torres-Pereira, G."
"Zumba-Zuniga, M.-F.","Aguilar-Campoverde, B."
"Zumba-Zuniga, M.-F.","Martinez-Fernandez, V.-A."
"Torres-Pereira, G.","Aguilar-Campoverde, B."
"Torres-Pereira, G.","Martinez-Fernandez, V.-A."
"Aguilar-Campoverde, B.","Martinez-Fernandez, V.-A."
"Martinez-Fernandez, V.-A.","Aguilar-Campoverde, B."
"Ruiz-San-Miguel, F.-J.","Hinojosa-Becerra, M."
"Ruiz-San-Miguel, F.-J.","Marin-Gutierrez, I."
"Hinojosa-Becerra, M.","Marin-Gutierrez, I."
"Darwin, A.S.","Paola, L.P."
"Darwin, A.S.","Roman, L.C."
"Darwin, A.S.","Gustavo, S.L."
"Paola, L.P.","Roman, L.C."
"Paola, L.P.","Gustavo, S.L."
"Roman, L.C.","Gustavo, S.L."
"Gustavo, S.L.","Roman, L.C."
"Paol Len, P.","Andres Davila, M."
"Paol Len, P.","Darwin Aguilar, S."
"Paol Len, P.","Byron Torres, M."
"Andres Davila, M.","Darwin Aguilar, S."
"Andres Davila, M.","Byron Torres, M."
"Darwin Aguilar, S.","Byron Torres, M."
"Byron Torres, M.","Darwin Aguilar, S."
"Huerta, M.","Gonzalez, R."
"Huerta, M.","Perez, A."
"Huerta, M.","Clotet, R."
"Huerta, M.","Villarroel, K."
"Huerta, M.","Rivas, D."
"Huerta, M.","Hernandez, Y."
"Gonzalez, R.","Perez, A."
"Gonzalez, R.","Clotet, R."
"Gonzalez, R.","Villarroel, K."
"Gonzalez, R.","Rivas, D."
"Gonzalez, R.","Hernandez, Y."
"Perez, A.","Clotet, R."
"Perez, A.","Villarroel, K."
"Perez, A.","Rivas, D."
"Perez, A.","Hernandez, Y."
"Clotet, R.","Villarroel, K."
"Clotet, R.","Rivas, D."
"Clotet, R.","Hernandez, Y."
"Villarroel, K.","Rivas, D."
"Villarroel, K.","Hernandez, Y."
"Rivas, D.","Hernandez, Y."
